
2023/10/26 (16:25:22) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/11/06 (14:02:02) | ===> btop++ v.1.2.5
2023/11/06 (14:02:02) | INFO: Logger set to DEBUG
2023/11/06 (14:02:02) | DEBUG: Using locale en_US.UTF-8
2023/11/06 (14:02:02) | INFO: Running on /dev/pts/5
2023/11/06 (14:02:02) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/11/10 (15:56:54) | ===> btop++ v.1.2.5
2023/11/10 (15:56:54) | INFO: Logger set to DEBUG
2023/11/10 (15:56:54) | DEBUG: Using locale en_US.UTF-8
2023/11/10 (15:56:54) | INFO: Running on /dev/pts/5
2023/11/10 (15:56:54) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/12/06 (10:11:23) | ===> btop++ v.1.2.5
2023/12/06 (10:11:23) | INFO: Logger set to DEBUG
2023/12/06 (10:11:23) | DEBUG: Using locale en_US.UTF-8
2023/12/06 (10:11:23) | INFO: Running on /dev/pts/3
2023/12/06 (10:11:23) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2023/12/19 (09:28:25) | ===> btop++ v.1.2.5
2023/12/19 (09:28:25) | INFO: Logger set to DEBUG
2023/12/19 (09:28:25) | DEBUG: Using locale en_US.UTF-8
2023/12/19 (09:28:25) | INFO: Running on /dev/pts/5
2023/12/19 (09:28:25) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2024/01/08 (11:27:28) | ===> btop++ v.1.2.5
2024/01/08 (11:27:28) | INFO: Logger set to DEBUG
2024/01/08 (11:27:28) | DEBUG: Using locale en_US.UTF-8
2024/01/08 (11:27:28) | INFO: Running on /dev/pts/6
2024/01/08 (11:27:29) | DEBUG: Loading theme file: /home/monzey/.config/btop/themes/tokyonight.theme

2024/01/11 (13:27:41) | ===> btop++ v.1.2.5
